#value	pattern_data	pattern_string	frequency
519	3,12,129	3|.O.|..X|X.O|	16526
520	3,68,41	3|..X|O.O|X.O|	16494
521	3,3,268	3|O..|..O|OXX|	16472
522	3,42,128	3|.O.|X.X|.X.|	16424
523	3,3,352	3|O.O|O..|.XX|	16379
524	3,97,6	3|..X|X..|OOX|	16373
525	3,171,324	3|OXO|X.X|OXX|	16289
526	3,78,33	3|..X|O.X|XXO|	16285
527	3,42,196	3|.OO|X.X|OX.|	16246
528	3,3,332	3|O.O|..O|OXX|	16239
529	3,106,385	3|OOX|X.X|.XO|	16203
530	3,99,132	3|.OX|X..|OXX|	16185
531	3,99,260	3|O.X|X..|OXX|	16172
532	3,173,66	3|.XO|X.X|XOX|	16129
533	3,68,299	3|O.X|O.O|XOO|	15985
534	3,7,103	3|..O|O..|###|	15869
535	3,238,257	3|OXX|X.X|XXO|	15721
536	3,79,367	3|O.#|O.#|###|	15687
537	3,103,0	3|..X|X..|XXX|	15646
538	3,78,257	3|O.X|..X|XXO|	15546
539	3,98,5	3|..X|X..|OXO|	15534
540	3,106,260	3|O.X|X.X|OX.|	15443
541	3,13,384	3|OO.|..X|X.X|	15398
542	3,171,256	3|OX.|X.X|.XX|	15375
543	3,107,384	3|OOX|X.X|.XX|	15318
544	3,231,15	3|.XX|X.O|###|	15208
545	3,12,194	3|.OO|..X|XO.|	15129
546	3,12,354	3|O.O|O.X|XO.|	15115
547	3,3,428	3|OO.|O.O|OXX|	14919
548	3,367,79	3|X.#|X.#|###|	14893
549	3,12,450	3|OOO|..X|XO.|	14888
550	3,79,167	3|.OX|O.X|###|	14677
551	3,3,396	3|OO.|..O|OXX|	14660
552	3,110,384	3|OOX|X.X|XX.|	14614
553	3,327,8	3|X.X|..O|XXX|	14481
554	3,71,136	3|.OX|..O|XXX|	14452
555	3,12,33	3|...|O.X|X.O|	14401
556	3,15,231	3|.OO|O.X|###|	14398
557	3,99,384	3|OOX|X..|.XX|	14379
558	3,71,271	3|O.X|..O|###|	14372
559	3,3,288	3|O..|O..|.XX|	14367
560	3,107,132	3|.OX|X.X|OXX|	14337
561	3,2,229	3|.OO|O..|OXO|	14335
562	3,0,110	3|..O|O.O|OO.|	14322
563	3,103,7	3|..X|X..|###|	14302
564	3,10,484	3|OOO|O.X|OX.|	14286
565	3,111,384	3|OOX|X.X|XXX|	14252
566	3,79,160	3|.OX|O.X|XXX|	14249
567	3,3,236	3|.OO|O.O|OXX|	14232
568	3,15,128	3|.O.|..X|XXX|	14220
569	3,229,2	3|.XX|X..|XOX|	14179
570	3,105,75	3|..#|X.#|.O#|	14174
571	3,105,132	3|.OX|X.X|O.X|	14110
